date,mjd,year_fraction,c20_value,c20_sigma,c30_value,c30_sigma,source,doi
2002-04-18 00:00:00.000000000,52385.0,2002.0,-0.0004846999628035548,1e-10,-4.199973256463759e-07,1.4e-10,TN-14_GSFC_SLR_real_220_K03381,10.1029/2019GL085488
2002-05-22 20:49:18.904109589,52419.82648401827,2002.0958904109589,-0.0004847000045849495,1e-10,-4.199738948055691e-07,1.4e-10,TN-14_GSFC_SLR_real_220_K03381,10.1029/2019GL085488
2002-06-26 17:38:37.808219178,52454.65296803653,2002.1917808219177,-0.0004846999993712991,1e-10,-4.200032924175677e-07,1.4e-10,TN-14_GSFC_SLR_real_220_K03381,10.1029/2019GL085488
2002-07-31 14:27:56.712328768,52489.479452054795,2002.2876712328766,-0.0004846999893251812,1e-10,-4.2000340878974634e-07,1.4e-10,TN-14_GSFC_SLR_real_220_K03381,10.1029/2019GL085488
2002-09-04 11:17:15.616438356,52524.30593607306,2002.3835616438357,-0.00048470000980059937,1e-10,-4.200156019659568e-07,1.4e-10,TN-14_GSFC_SLR_real_220_K03381,10.1029/2019GL085488
2002-10-09 08:06:34.520547944,52559.13242009132,2002.4794520547946,-0.00048470001382980857,1e-10,-4.1999965833048873e-07,1.4e-10,TN-14_GSFC_SLR_real_220_K03381,10.1029/2019GL085488
2002-11-13 04:55:53.424657536,52593.95890410959,2002.5753424657535,-0.00048470001848656516,1e-10,-4.1998975756591993e-07,1.4e-10,TN-14_GSFC_SLR_real_220_K03381,10.1029/2019GL085488
2002-12-18 01:45:12.328767124,52628.78538812786,2002.6712328767123,-0.0004847000602224201,1e-10,-4.200111044346211e-07,1.4e-10,TN-14_GSFC_SLR_real_220_K03381,10.1029/2019GL085488
2003-01-21 22:34:31.232876712,52663.61187214612,2002.7671232876712,-0.00048470003485927976,1e-10,-4.200007450839414e-07,1.4e-10,TN-14_GSFC_SLR_real_220_K03381,10.1029/2019GL085488
2003-02-25 19:23:50.136986300,52698.438356164384,2002.86301369863,-0.00048470001729409,1e-10,-4.199892216485973e-07,1.4e-10,TN-14_GSFC_SLR_real_220_K03381,10.1029/2019GL085488
2003-04-01 16:13:09.041095888,52733.26484018265,2002.958904109589,-0.00048470002524892504,1e-10,-4.2000190363723514e-07,1.4e-10,TN-14_GSFC_SLR_real_220_K03381,10.1029/2019GL085488
2003-05-06 13:02:27.945205480,52768.09132420091,2003.054794520548,-0.0004847000212790887,1e-10,-4.200077870595172e-07,1.4e-10,TN-14_GSFC_SLR_real_220_K03381,10.1029/2019GL085488
2003-06-10 09:51:46.849315072,52802.91780821918,2003.150684931507,-0.0004847000034485369,1e-10,-4.199854036027383e-07,1.4e-10,TN-14_GSFC_SLR_real_220_K03381,10.1029/2019GL085488
